| 2023-05-04 16:22:27: RuntimeError | AreaType: nation | metricCode: newFirstEpisodesBySpecimenDateDemographics | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 16:22:29: RuntimeError | AreaType: nation | metricCode: newReinfectionsBySpecimenDateDemographics | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 16:22:31: ValueError | AreaType: nation | metricCode: capacityPillarFour | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 16:22:31: ValueError | AreaType: nation | metricCode: capacityPillarOne | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 16:22:32: ValueError | AreaType: nation | metricCode: capacityPillarOneTwo | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 16:22:32: ValueError | AreaType: nation | metricCode: capacityPillarThree | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 16:22:32: ValueError | AreaType: nation | metricCode: capacityPillarTwo | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 16:22:33: ValueError | AreaType: nation | metricCode: cumPillarFourTestsByPublishDate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 16:22:39: ValueError | AreaType: nation | metricCode: newPillarFourTestsByPublishDate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 16:22:42: RuntimeError | AreaType: nation | metricCode: newVirusTestsByPublishDateDirection | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 16:22:42: ValueError | AreaType: nation | metricCode: newVirusTestsChange | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 16:22:43: ValueError | AreaType: nation | metricCode: newVirusTestsChangePercentage | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 16:22:43: ValueError | AreaType: nation | metricCode: newVirusTestsDirection | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 16:22:43: ValueError | AreaType: nation | metricCode: newVirusTestsRollingSum | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 16:22:43: ValueError | AreaType: nation | metricCode: plannedAntibodyCapacityByPublishDate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 16:22:44: ValueError | AreaType: nation | metricCode: plannedCapacityByPublishDate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 16:22:44: ValueError | AreaType: nation | metricCode: plannedPCRCapacityByPublishDate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 16:22:45: ValueError | AreaType: nation | metricCode: alertLevel | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 16:22:52: ValueError | AreaType: nation | metricCode: cumDeathsByDeathDate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 16:22:53: ValueError | AreaType: nation | metricCode: cumDeathsByDeathDateRate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 16:22:53: ValueError | AreaType: nation | metricCode: cumDeathsByPublishDate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 16:22:53: ValueError | AreaType: nation | metricCode: cumDeathsByPublishDateRate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 16:22:57: RuntimeError | AreaType: nation | metricCode: newDeaths28DaysByDeathDateDirection | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 16:23:01: ValueError | AreaType: nation | metricCode: newDeathsByDeathDate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 16:23:02: ValueError | AreaType: nation | metricCode: newDeathsByDeathDateRate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
